TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,dt1_n1_dx,dt1_n1_dy,dt2_n1_dx,dt2_n1_dy,dt4_n1_dx,dt4_n1_dy,dt8_n1_dx,dt8_n1_dy,dt12_n1_dx,dt12_n1_dy,dt16_n1_dx,dt16_n1_dy,track_id_unique_pred,track_id_parent_pred
35,0,5121,18,0,1298.5890514564132,125.13058804506468,-1.0875102962233996,-28.342237587780627,14.912952560687243,-45.76147676403159,11.869726360026336,-82.16246559331353,-89.57998388840656,-125.13058804506468,0.0,0.0,0.0,0.0,-1.060050774492444,-2.08304745761554,-5.111626029683777,-5.384929624475375,-10.100935999488524,-0.5801814322418941,0.3915886892823253,-4.883449283386337,-11.620786866122177,7.17548497884812,1.067670698937856,-4.245655472196515,1,0
47,0,5377,109,0,35.72543113546717,247.1198781797477,-3.6415417901700096,-8.9807659657464,-2.1087737643493583,-12.984972130732244,-35.72543113546717,-16.118145666753804,-35.72543113546717,4.882011834427432,-35.72543113546717,17.882109335158702,-35.72543113546717,-7.118078166247585,1.3056119746730803,0.6020641565568677,2.94232451848265,-0.04468970996731558,8.748658855966276,2.8077711040663766,21.110640566189165,5.2303158467715685,24.62282949659141,2.5135145491126103,45.95233062263743,-5.094559394014782,2,0
56,0,7810,45,0,1397.664557440516,1302.783494213154,-15.773810583775006,-12.792886855677807,-26.857726707612535,-33.716498332566964,-28.095567924915713,-30.058702504507888,-18.266920540572528,8.06865520704855,-25.43856634068902,-6.939185100851091,-49.70048477920022,-88.97430988598649,-2.4450445396784435,-4.3574466451037095,-6.799644767973247,-9.443614891577258,-8.526978731077916,-15.478139416502492,-10.05971577628251,-4.0258292687839985,-11.461291957478835,-7.102859601376719,-21.904563103395358,-0.928453983406559,3,0
10,0,6279,89,0,266.81151245455015,672.9592734355451,-3.1809081793805376,-9.60608873706758,4.2063589194856945,-15.20329327074785,34.332609463509534,-10.981791556210396,46.05457600338565,-11.428961483615012,42.26133909127649,-24.92594651164575,60.49331701156103,-8.902165852037227,3.118181808431783,0.2982399195146086,8.264833215622962,3.80207799166821,14.236272608454087,7.872212892928685,18.631500672401145,-0.2807178803714372,13.912843865868632,19.084071158097352,25.25151327920773,10.168419362746334,4,0
102,0,10375,41,0,1699.7364344432235,2012.58445330064,0.9566971484587156,-18.934894248073302,13.499556875295186,-34.768014274573716,31.31735985659089,-66.93497859864489,61.50854199958121,-85.20931158293409,77.15515826796013,-99.50372483110232,7.2330514084051165,-33.247349997798665,4.649792743872207,-5.698814874343689,11.726763057811404,-15.461333867764013,26.138852372274627,-30.56685583339448,45.396127878531495,-43.17637661553769,33.95463614363862,-45.32980506385238,46.71545961368386,-56.499084682960046,5,0
48,0,10378,72,0,199.00149251119385,2039.0152926146948,-5.000037500281223,0.0,7.000052500393764,0.0,7.000052500393764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
45,0,6410,33,0,1377.0986213800827,756.1002875604802,-16.84221224012617,-13.728926452356744,-15.734220817807682,-17.700897011774714,-20.73752978765037,-19.11232702815994,-27.069877595340362,-15.344288145832481,-32.89911842474339,-18.667362807618588,-33.7546205199576,-18.45499974324491,3.3477615154877096,-2.390497891216628,6.704195093694719,-5.414992450702296,14.305154370204392,-3.0455552581837497,23.590005655330128,-9.228750717418752,29.52618408173673,-1.490425002823396,27.818081177549963,0.4187496077873991,7,0
52,0,6285,7,0,554.6647638043553,675.4765656082208,39.77044236494703,-17.91214737438952,28.650138644884358,-28.730970535628327,34.28606383227168,-13.92058231038652,-16.392021472490114,65.61459376888797,-27.460109909121343,94.93611663425496,-45.096126225766746,123.04967768397069,0.02127467793451321,2.988991454301133,-0.6474299093246452,2.3820349972724055,0.6980506821553587,16.634633395993852,5.8602468820993625,24.318526946124607,-1.256855471034727,26.143924420196623,13.472701382360613,47.63692420963075,8,0
26,0,8082,60,0,876.4457099773958,1416.2300793235406,-7.363093641663909,-11.909122556941615,14.11286791965358,-15.923479300415693,42.60014195898964,-35.129216575625605,189.5141624442432,-29.605857129018197,229.1221768594049,-30.001123135586113,266.93807167152903,-26.888508983612386,7.247407852703483,-2.578380045604212,13.329250310197176,-4.930798824890025,26.27482630459351,-6.429646558375925,33.2816262606503,2.62563335720032,68.06476273826401,-15.296251173540096,67.73746840624594,-2.7104410932425584,9,0
218,0,706457,71,0,1133.301971536203,90.5351911964918,5.544126148698979,-17.83384064367995,7.826022235144817,-13.332443338672734,-33.87340709686987,3.7862333456663753,-76.74154979779655,8.862278437737643,-57.769143747180344,21.70252960557019,-39.48272301646148,26.590673839905605,4.459094126158998,-3.1711448019816206,12.045587456153916,-6.557488580784758,22.639795270332733,-11.359498598620306,38.79687994622606,-13.466634792548852,52.092423159668115,-25.18137718265261,52.97114335610996,-16.179269737644873,10,0
