TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred,predicted
35,0,5121,18,0,1298.5890514564132,125.13058804506468,-1.0875102962233996,-28.342237587780627,14.912952560687243,-45.76147676403159,11.869726360026336,-82.16246559331353,-89.57998388840656,-125.13058804506468,0.0,0.0,0.0,0.0,1,0,0
47,0,5377,109,0,35.72543113546717,247.1198781797477,-3.6415417901700096,-8.9807659657464,-2.1087737643493583,-12.984972130732244,-35.72543113546717,-16.118145666753804,-35.72543113546717,4.8820118344274315,-35.72543113546717,17.882109335158702,-35.72543113546717,-7.118078166247585,2,0,0
56,0,7810,45,0,1397.664557440516,1302.783494213154,-15.773810583775006,-12.792886855677807,-26.857726707612535,-33.716498332566964,-28.095567924915713,-30.058702504507888,-18.266920540572528,8.06865520704855,-25.43856634068902,-6.939185100851091,-49.70048477920022,-88.97430988598649,3,0,0
10,0,6279,89,0,266.81151245455015,672.9592734355451,-3.1809081793805376,-9.60608873706758,4.206358919485695,-15.20329327074785,34.332609463509534,-10.981791556210396,46.05457600338565,-11.428961483615012,42.261339091276504,-24.92594651164575,60.49331701156103,-8.902165852037227,4,0,0
102,0,10375,41,0,1699.7364344432235,2012.58445330064,0.9566971484587156,-18.934894248073302,13.499556875295186,-34.768014274573716,31.317359856590887,-66.93497859864489,61.50854199958121,-85.20931158293409,77.15515826796013,-99.50372483110232,7.2330514084051165,-33.247349997798665,5,0,0
48,0,10378,72,0,199.00149251119385,2039.0152926146948,-5.0000375002812225,0.0,7.000052500393764,0.0,7.000052500393764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
45,0,6410,33,0,1377.0986213800827,756.1002875604802,-16.84221224012617,-13.728926452356744,-15.734220817807682,-17.700897011774714,-20.73752978765037,-19.11232702815994,-27.069877595340362,-15.344288145832481,-32.89911842474339,-18.667362807618588,-33.7546205199576,-18.45499974324491,7,0,0
52,0,6285,7,0,554.6647638043553,675.4765656082208,39.77044236494703,-17.91214737438952,28.650138644884354,-28.730970535628327,34.28606383227168,-13.92058231038652,-16.392021472490114,65.61459376888797,-27.460109909121343,94.93611663425496,-45.096126225766746,123.04967768397069,8,0,0
26,0,8082,60,0,876.4457099773958,1416.2300793235404,-7.363093641663909,-11.909122556941615,14.11286791965358,-15.923479300415693,42.60014195898964,-35.129216575625605,189.5141624442432,-29.6058571290182,229.1221768594049,-30.001123135586113,266.93807167152903,-26.888508983612386,9,0,0
218,0,706457,71,0,1133.301971536203,90.5351911964918,5.544126148698979,-17.83384064367995,7.826022235144817,-13.332443338672734,-33.87340709686987,3.7862333456663753,-76.74154979779655,8.862278437737643,-57.769143747180344,21.70252960557019,-39.48272301646148,26.590673839905605,10,0,0
31,0,8596,10,0,910.0868247826808,1565.9420715212054,-9.877007146151184,-11.258763049297615,-6.906820167797606,-19.162116416291155,-7.1403373771788665,-22.924078814516633,-4.72074054439895,-23.86300697677143,-6.059430405499711,-25.430504615443848,-1.3394108394019213,-27.49284413738997,11,0,0
4,0,5141,53,0,169.77160736563033,149.01427455933498,-9.048946609852834,-7.9487534349520095,-4.912100623880207,-6.673883167556652,-27.108121396346803,7.768346213224162,20.156141502270856,31.90058127448549,50.99421865780261,47.697585211248615,17.787001812658414,84.73907885872646,12,0,0
22,0,5272,114,0,579.6114870677156,208.8599207876032,-6.065835658404808,-10.218530909404393,3.678699533709846,-10.999630191287224,14.507625921354132,-14.914409253330886,18.640271972670575,-10.904710663511109,44.720984540771276,-8.668699118879887,211.23056299716788,40.96740130672055,13,0,0
54,0,5657,26,0,455.85072276019775,398.9003051144955,1.1433209493715142,-13.663419795972118,-3.7906273734898255,-17.799844162586453,2.6554629930775486,-16.738468053337723,-39.700222191159924,5.380812244398272,-23.91840011670024,3.0152642908987564,66.67095234317253,-82.98061953685328,14,0,0
8,0,5663,56,0,1363.2507858528134,402.44582515965834,-17.491601204060313,5.56771423859874,-15.161025517940516,-5.75255144111037,-34.73021396282184,34.751705348895996,-63.97668218590684,89.43642972008733,-111.7110282409983,153.43133115992032,-151.7961947047586,188.92777028612895,15,0,0
6,0,705429,62,0,210.5361302038396,1193.3024410398766,-7.963973369925583,-10.829181723091097,16.3734920390103,-26.70848021233701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0
15,0,5797,27,0,65.11133575212136,449.78094010138983,-3.8493254898936016,-13.830382909539082,5.217530745200847,-21.431667923126327,19.665166908472212,-19.35835960895952,24.42457900397369,-18.37057289994118,65.47335404614543,-26.903267890633288,113.47086126691272,-42.88548174382709,17,0,0
