FRAME,ID,pos_x,pos_y,track_id_unique,track_id_parent,track_id_unique_pred,track_id_parent_pred,dt4_n0_dx,dt4_n0_dy
0,10505,1767.0773657265242,141.22938970268405,19,0,2872,0,-132.1249093360252,22.816021302653407
0,12877,2002.050875164104,1523.6779041637244,2,0,2898,0,-15.44563226187006,-34.33898493676111
0,10320,833.5317789539772,20.207452407971324,47,0,2853,0,0.0,0.0
0,13264,1061.1355087064546,1742.2309821803103,13,0,2811,0,-30.17735811112925,-13.26474600667416
0,10513,451.531296624313,151.23794173692352,12,0,2831,0,-29.22253768284446,-50.894770160972605
0,13201,1117.8109782750028,1700.2523186856265,49,0,2903,0,-32.87772606273188,-6.153086929823758
0,11540,1225.7494742631322,731.9730609267772,1,0,2834,0,-9.315719525247234,-16.061678679505007
0,12310,814.5074961100541,1143.7540055979402,22,0,2862,0,0.677964263011404,-36.956809411138465
0,12314,0.0,1145.0085875644068,55,0,2816,0,0.0,3.0000225001685976
0,10531,322.1596817034843,165.10895206888222,52,0,2858,0,-6.410590842067053,30.2803957732867
0,11302,1828.6903995231592,612.4037453763212,18,0,2925,0,-17.125923718497233,31.435883223391105
0,13543,321.83075428613057,1893.5430661785683,48,0,2871,0,12.494101573332555,-6.407302250305519
0,12462,1774.056871441983,1249.1147819122787,38,0,2805,0,-41.96836386578252,17.890436177405487
0,12719,1293.6841819341635,1400.2895236830573,41,0,2863,0,-11.276579007123699,-24.52058518424497
0,12786,54.984216540756684,1461.2465149763464,34,0,2911,0,-36.68193209817597,-2.304558769543064
0,10611,698.2126496921214,229.23858539521413,6,0,2828,0,-23.081113862794496,-2.4665400175439056
0,12212,1531.3841710293473,1075.1070859865226,31,0,2854,0,-140.73456293087702,2.9273414833994598
0,12404,1544.4020473026071,1205.6920349156344,3,0,2899,0,-6.619258099675335,40.74719180887928
0,11575,1253.2826276670935,750.7090186508627,9,0,2808,0,-0.912262699814164,-14.406757779100873
0,11386,97.45629845798796,649.4579710697137,25,0,2857,0,4.695117641471184,-36.77591439142736
0,10428,1984.8276585261096,84.24689853287647,44,0,2907,0,24.68741283692566,26.2539302233392
0,12798,1224.3347697545255,1470.8150996823779,26,0,2876,0,0.0,0.0
0,12862,755.4815862000634,1511.6223336187259,37,0,2919,0,-71.65142241754825,6.1968290975755735
1,23681,334.3248558594631,1887.1357639282626,48,0,2871,0,32.04662093322844,-0.4661741724132753
1,21635,1811.564475804662,643.8396285997122,18,0,2925,0,-0.6573955858939371,17.54784347221687
1,20745,1634.952456390499,164.04541100533746,19,0,2872,0,-75.1334608444797,16.347342437301307
1,22921,2039.0152926146948,1387.010402578019,63,0,2894,0,-129.51785176666613,-70.4872133697329
1,23881,700.1030925251225,2005.5526098807159,61,0,2893,0,63.52987329717803,-126.34615931402232
1,23883,416.0031200234002,2039.0152926146948,60,0,2895,0,-45.0003375025313,0.0
1,21580,102.15141609945915,612.6820566782865,25,0,2857,0,15.9407938059705,-43.8183719968315
1,20813,315.7490908614172,195.3893478421689,52,0,2858,0,95.12301645559836,34.90999414158199
1,23437,1030.9581505953254,1728.9662361736362,13,0,2811,0,-17.488472898040303,3.669620358685279
1,22542,815.1854603730658,1106.7971961868018,22,0,2862,0,-16.559957053293715,-4.190920110148454
1,21842,0.0,740.0055500416254,62,0,2896,0,37.33916708058826,-73.74302066150062
1,23061,1986.6052429022336,1489.3389192269638,2,0,2898,0,-14.565132830775154,-31.915244949860377
1,23396,1084.9332522122709,1694.0992317558025,49,0,2903,0,-25.121818145703173,-3.829084859050681
1,23336,1188.21789951159,1676.7564468467324,30,26,2877,2876,-7.522898829589849,-5.616657852681557
1,22699,1537.7827892029322,1246.4392267245134,3,0,2899,0,12.40665007073858,-24.96049200968855
1,23019,18.302284442580714,1458.9419562068035,34,0,2911,0,-18.302284442580714,-0.9310211247905044
1,941347,2009.5150713630355,110.50082875621568,44,0,2907,0,9.00006750050602,6.000045000337508
1,22510,1390.6496080984705,1078.034427469922,31,0,2854,0,-147.38776204997268,33.68364221504862
1,22895,1282.4076029270398,1375.7689384988125,41,0,2863,0,30.269277085665866,10.476784733718887
1,20656,422.30875894146857,100.34317157595088,12,0,2831,0,0.0,0.0
1,21752,1216.433754737885,715.9113822472722,1,0,2834,0,2.8675409589104675,0.07843117889319727
1,22585,0.0,1148.0086100645756,55,0,2816,0,60.42437945695168,26.957129540038746
1,22713,1732.0885075762005,1267.005218089684,38,0,2805,0,-37.373965480367595,26.499409196714627
1,20859,675.131535829327,226.77204537767025,6,0,2828,0,-40.73176831684532,37.170846554199045
1,23291,1217.9916604167313,1656.5339054323965,27,26,2886,2876,71.89980883639419,-57.05369287680128
1,21820,1252.3703649672796,736.302260871762,9,0,2808,0,5.589514908502679,-1.918280717082212
1,23100,683.8301637825151,1517.8191627163017,37,0,2919,0,-73.6651232558263,34.126414409221304
2,36291,1909.4974408480289,1316.5231892082863,63,0,2854,0,-61.383434330691436,-52.80099808773343
2,36419,1312.6768800127056,1386.2457232325312,41,0,2863,0,-15.712415157553096,5.563700119555506
2,35012,118.09220990542966,568.863684681455,25,0,2857,0,16.500808113310825,-21.426101161636094
2,36549,1972.0401100714587,1457.4236742771036,2,0,2898,0,-21.27192743442197,-33.879159969438426
2,36550,0.0,1458.010935082013,34,0,2911,0,0.0,0.0
2,36749,1289.8914692531255,1599.4802125555955,27,26,2894,0,95.18633764190395,-29.388626631007128
2,941376,2018.5151388635413,116.5008737565532,44,0,2907,0,9.000067500506248,-12.000090000674989
