TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred,predicted
135,0,18054,65,0,428.9590486779956,1950.4373658203808,0.10951960201606424,14.804111300232305,12.728204214148946,36.78327830794001,-20.955988655045477,88.5779267943142,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
21,0,17864,46,0,949.7850026738267,1817.5011025328195,-7.265129901075285,-5.558971736604008,-0.3134170861802659,-8.777871365567991,8.202587548112094,-11.731740797394426,-1.7309584964033318,-8.069736247718536,-36.43961568797647,11.68232168697159,-42.29183711860037,22.964204487426738,2,0,0
26,0,18120,6,0,786.0058950442128,2039.0152926146948,16.000120000899983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
145,0,16207,15,0,345.0282801311727,686.8368254172561,-19.88947609911793,-10.79383583081119,-23.13273991356289,-9.56849108038193,-52.815554151383544,-12.454519718406685,-106.348185267878,-35.15704814650053,0.0,0.0,0.0,0.0,4,0,0
27,0,16272,5,0,2039.0152926146948,735.0055125413443,0.0,-3.0000225001689387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
4,0,17300,2,0,328.01068929193434,1431.3171503115345,-1.5879400510550568,-8.824814472819526,-3.7005476523336815,-19.119355567050434,22.210469506376626,-30.03327773261867,85.27381801351373,-55.257316313151705,133.71968401084092,-84.943897027445,137.38139517181543,-99.8762013492326,6,0,0
11,0,17492,26,0,217.94980770221943,1608.0382144125842,-13.306531076206934,-6.909534328919334,-14.064754079793715,-8.165262454372396,-17.500183518319343,-13.836353077841293,-9.170855643187252,2.9331151894100462,-4.220581161177222,61.69350295264643,-20.736163834332107,69.31894041977898,7,0,0
18,0,16340,52,0,718.4197555266521,799.5513916003624,-8.373462574704263,-3.27631220895114,-15.945651699362427,9.541197181213988,-28.559401147576978,16.224864400892216,-39.17824972330561,-9.056125622773036,-67.17292284916084,-26.82463692935892,-73.30442477396775,-33.298205164484784,8,0,0
12,0,15772,7,0,1670.014872001965,376.7494521893855,-0.28732849107927905,2.6473464183374626,4.984377839884019,5.891576669293612,5.99240089147952,12.140596348879626,5.865341429225055,32.72440533526742,1.2414391344832438,49.29966923463979,3.0364118076820428,67.84838631052986,9,0,0
14,0,17699,24,0,1426.3879749356186,1727.0930188136056,-18.82556658752037,-6.894918917839277,-9.76168759565644,22.010668383922397,-45.06244220141366,117.67421884104874,-95.87079569441744,148.16778881932828,-117.83228180169635,244.1704053185949,-96.390231407594,249.43048548398338,10,0,0
20,0,15907,49,0,1774.081374151227,463.7246800163336,-0.7284811082624856,-5.901317096735284,16.330868014426187,-9.638248935209957,20.085290694936475,-7.108604739522831,47.34392244355831,10.485810603606863,4.801304920906659,17.263182537066598,-24.27187420217365,31.958681283341488,11,0,0
15,0,16168,39,0,1404.9091185636773,654.3370252401845,-15.010383984966893,-0.96813628648988,-14.372702264127385,1.3824975679390263,-50.414306899383966,34.416092085229025,-74.27704619963879,47.59918152656906,0.0,0.0,0.0,0.0,12,0,0
1,0,16044,1,0,1340.9990297681113,571.4304931007358,1.0415981728028785,-22.60092459083535,33.894467233387786,-36.024781174421946,48.56537521669134,-52.31764089245758,67.88080533090897,-147.52920484949988,187.9403864489882,-292.14642127890147,336.0414279268125,-409.68185081261436,13,0,0
22,0,16236,29,0,780.9765452797886,710.0042190436707,-0.891878309265735,-13.074996130136926,4.13161853624149,-18.379290543364164,11.176633740720945,-41.17996242222228,16.89518931452028,-71.91161252437304,19.26714553965803,-49.06512485518306,46.954840675268876,-72.034118071281,14,0,0
13,0,16813,8,0,1033.6836677676206,1139.6291945317605,-19.362054516440367,-4.2486605809963285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
17,0,17389,64,0,1147.7960274338946,1518.8376904654638,-9.91720122675224,-4.6498646885347625,-22.16494867073561,-0.07973746368929824,-48.50243018989203,13.906184137333868,-87.63059650161335,43.51631018980584,-61.17790134889901,59.11996824806396,-71.6250859124391,65.36596628484313,16,0,0
