Unnamed: 0,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt4_n0_dx,dt4_n0_dy,FRAME,prev_dt4_n0_dx,prev_dt4_n0_dy,ux0,uy0,ux1,uy1,ux2,uy2,ux3,uy3,u_flag,ID_next,track_id_unique_pred,track_id_parent_pred,predicted,pos_x_pred,pos_y_pred,dt4_dx_pred,dt4_dy_pred
0,5248,57,0,903.5392549791393,374.35624744694513,22.632052853444858,-14.388369279574022,0,0.0,0.0,0.1703908642768024,0.17039086427680236,-36.35905108374885,36.35905108374886,-0.11271829886188685,-0.1127182988618868,5.784246555158133,-5.784246555158139,2,5096.0,1,0,1,890.0426214494762,378.60313846867365,-13.496633529663086,4.246891021728516
1,5249,14,0,1799.9888211922214,505.1089160188408,-10.257048419749026,7.804963565155276,0,0.0,0.0,32.57974823539881,32.5797482353988,-4.212348756643565,4.212348756643567,-2.5147823321267917,-2.514782332126791,3.119529127530506,-3.119529127530508,2,5099.0,2,0,1,1804.3329083160922,509.47763702714155,4.34408712387085,4.368721008300781
2,5250,54,0,1695.8453598073875,513.5174501944794,-19.489241822133177,-7.472096246079217,0,0.0,0.0,33.50291341763112,33.50291341763111,-2.8154649036335133,2.8154649036335133,-3.1072217209297204,-3.1072217209297186,3.0008052484916834,-3.0008052484916856,2,5098.0,3,0,1,1700.7016158155357,517.609182696463,4.856256008148193,4.091732501983643
3,5251,49,0,1102.982127175388,542.7171008667939,7.353145526802107,18.378309629851056,0,0.0,0.0,1.602375975913859,1.6023759759138587,-36.7052857583919,36.7052857583919,-3.3044604372238813,-3.3044604372238795,0.8142831191563853,-0.8142831191563856,2,5100.0,4,0,1,1087.371025071201,548.4306628785126,-15.611102104187012,5.71356201171875
4,5252,74,0,2006.1307277765561,545.6517337744107,14.713451365234961,-134.24965457647642,0,0.0,0.0,16.689854875032037,16.689854875032033,-4.836569924870225,4.8365699248702265,-16.115544215546223,-16.115544215546223,4.784439752352554,-4.784439752352557,2,,5,0,1,2002.9019174661923,541.0719312612881,-3.2288103103637695,-4.579802513122559
5,5253,89,0,1817.0177544346886,563.1623621034964,-6.4214306253772975,8.572126071562481,0,0.0,0.0,20.207961902042488,20.207961902042488,-4.527056113460771,4.527056113460773,-11.012413913090816,-11.01241391309081,6.6789765231055975,-6.678976523105598,2,5101.0,6,0,1,1816.7693543574649,560.2539265203818,-0.24840007722377777,-2.908435583114624
6,5254,15,0,633.224256118701,634.6743371950729,46.5078273312547,-6.0839540901480405,0,0.0,0.0,1.1495222868838946,1.1495222868838946,-15.506624249937193,15.506624249937195,-12.702587675011653,-12.702587675011651,13.067672106182716,-13.067672106182725,2,5102.0,7,0,1,625.8233815039854,626.6674278246505,-7.400874614715576,-8.006909370422363
7,5255,67,0,530.184684690302,732.1342241335118,8.56140492973202,2.8730101326276563,0,0.0,0.0,2.140351232433005,0.718252533156857,2.140351232433005,0.718252533156857,2.140351232433005,0.718252533156857,2.140351232433005,0.718252533156857,0,5105.0,8,0,0,538.746089620034,735.0072342661392,8.56140492973202,2.873010132627428
8,5256,4,0,813.6466378169638,753.6464333581176,203.5987925329789,-52.98797302898595,0,0.0,0.0,3.4000807836816067,3.4000807836816067,-1.6465688431857142,1.6465688431857144,-1.0603561770982246,-1.0603561770982242,36.31940185748071,-36.31940185748072,2,,9,0,1,821.7071436839682,736.88465548031,8.060505867004395,-16.761777877807617
9,5257,40,0,499.08709480416053,761.5515430139827,-1.2553828946023486,-4.221003315540315,0,0.0,0.0,-0.31384572365060137,-1.0552508288850504,-0.31384572365060137,-1.0552508288850504,-0.31384572365060137,-1.0552508288850504,-0.31384572365060137,-1.0552508288850504,0,5106.0,10,0,0,497.8317119095581,757.3305396984425,-1.2553828946024055,-4.221003315540202
10,5258,75,0,2039.0159552998505,914.0071521059652,0.0,11.000086075673606,0,0.0,0.0,2.353083050218911,2.3530830502189106,-35.06447185663611,35.06447185663612,-4.559466302395803,-4.559466302395801,0.4493864521954352,-0.4493864521954354,2,5108.0,11,0,1,2023.7069104618988,919.2189564959189,-15.30904483795166,5.211804389953613
11,5259,1,0,1561.5527138814095,999.3838679404358,68.79667151008539,-40.97527648615233,0,0.0,0.0,0.2139481504876684,0.2139481504876684,-0.3584203031934253,0.3584203031934253,-0.19350542089296155,-0.19350542089296147,41.660536256414105,-41.66053625641412,2,,12,0,1,1571.07199336139,979.6123549552063,9.519279479980469,-19.771512985229492
12,5260,24,0,1228.894324563438,1028.0668324080445,9.949089728607078,-1.642566674488762,0,0.0,0.0,2.4872724321517694,-0.41064166862219054,2.4872724321517694,-0.41064166862219054,2.4872724321517694,-0.41064166862219054,2.4872724321517694,-0.41064166862219054,0,5111.0,13,0,0,1238.843414292045,1026.4242657335558,9.949089728607078,-1.6425666744887621
13,5261,86,0,1372.067248743634,1027.7549359537406,2.2240477616080625,-4.1805313013848036,0,0.0,0.0,0.5560119404019588,-1.0451328253462009,0.5560119404019588,-1.0451328253462009,0.5560119404019588,-1.0451328253462009,0.5560119404019588,-1.0451328253462009,0,5110.0,14,0,0,1374.291296505242,1023.5744046523558,2.224047761607835,-4.1805313013848036
14,5262,59,0,883.7099387313385,1035.6237976632815,-29.28578670258593,-173.21741035367003,0,0.0,0.0,1.6637514811208782,1.6637514811208782,-3.48653545499367,3.4865354549936702,-27.865291112289054,-27.86529111228904,9.410831351600168,-9.410831351600171,2,5107.0,15,0,1,875.2870623733063,1021.3512442193728,-8.422876358032227,-14.272553443908691
