TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred
8,2,42711,20,0,1282.8899945252865,495.131765626168,-2.9839082254020473,11.590971599636363,-11.357371857616046,25.913530013258253,-20.39544792359152,57.00945709946194,-10.564107029621482,44.10509514537029,-4.0811655936054185,6.4758348614996075,53.924207599758795,-54.36934096225872,9,0
11,2,44537,43,0,1045.9119221607702,1204.3649977054113,25.103495705414844,-18.853657500795634,50.265696637379044,-39.920374962440974,79.16470764821179,-59.87084711910575,97.72089960957987,-42.593849104358014,166.68039429254213,-16.743293600678502,225.58517388278617,-11.704951777440328,12,0
16,2,42842,18,0,1076.5137388189546,523.4865359338388,-5.19948496789084,40.84426622352669,7.102604872254915,81.58527183625358,44.89920919595284,177.1998558201392,113.16308541997341,169.1772981067802,144.91319026331576,131.59572997566877,167.72356221657674,96.89992710753677,17,0
4,2,44059,29,28,1782.8744564443734,947.2371773227727,-21.116271143562017,-10.713929218519183,-34.57695947804632,-27.00631220162677,-49.49716762692356,-75.88368036718396,-97.45185255774435,-155.5673412732926,-129.62627737982916,-206.15630864480354,-160.16642754664394,-253.67217943730134,19,0
4,2,44092,32,28,1877.2756436544296,967.7639319688724,2.328807345523046,0.11265546395168258,1.4479248501886561,9.595374585313492,-0.7943308485153011,12.632810051553747,10.212724498084754,29.65700806718416,22.79536309736477,74.13946462102159,38.791489089109284,108.06283414704797,20,0
12,2,41661,3,0,986.9219963128296,215.93629736928798,-1.7440046727778054,1.6285409841284206,-5.7921354272002645,-2.644144483936998,-10.247011117456736,-14.320386397628596,-7.509756887296021,-21.63434417561293,0.0,0.0,0.0,0.0,13,0
9,2,43805,36,0,36.272006608803224,828.9261329558107,-0.6327107083059289,3.775924919355248,-1.302414574437428,10.460588004411193,-0.983444686068708,20.567300408456962,-4.58427772063439,57.607760229211294,-4.771535165346659,49.93473310117543,0.0,0.0,10,0
13,2,43743,14,0,908.3101359749656,810.9598015691811,-6.085825725446853,15.646708133449463,-9.938940525781275,19.97135508763517,-5.272323396524371,24.423626446923443,-4.249595480931248,53.31143967063497,-0.0027592978602797307,10.730896416229145,-3.1938082595499964,22.607258573513604,14,0
4,3,60544,32,28,1884.4439696150007,985.2399700466347,2.37899728348134,4.964026722595237,3.0443985375138714,12.180969989421671,11.114292121653989,37.29340405182711,26.23750531011615,77.3530535083629,36.19883942228557,102.59705664353952,36.82118654342071,153.6444426709273,20,0
9,3,60387,36,0,35.32197021330596,884.9577798797353,-3.4424962697839376,1.4977871855575131,-3.6342413251371184,1.5761133052866398,-0.6311003658925927,-1.1466298244716882,-14.821816462152832,-24.451326081331896,0.0,0.0,0.0,0.0,10,0
