,Unnamed: 0,TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,0,0,3280,17,0,1128.6388742470642,589.0464488883647,-10.758788464638428,-6.893381690560773,-12.124707479940753,-19.49166481556449,23.028052324566715,-33.979578521887674,193.85936536817871,37.22271361492551,102.01362564902796,185.78225140453893,108.31384661288895,402.1063217874256,1,0
1,1,1,0,1169,12,0,1558.5871745658142,260.1791317742349,-15.453055119054625,-11.456965019644684,-20.61349565035016,-22.737139847465468,-49.35245635237516,-44.5468770838678,-108.57629948425095,-85.1778192643911,-136.87592715285086,-91.11909091164335,-211.39662591106503,-102.50288692650663,2,0
2,2,102,0,4818,7,0,657.2657154297506,858.3100691371335,-6.491118832319787,-7.15158392821138,2.3845795979353848,-10.351742200524427,-4.43223347072626,-7.173161065740602,-39.30689240927881,7.410976895563862,-47.17660476173194,18.524012011523386,-86.5586762486785,15.69217957040462,3,0
3,3,7,0,14810,1,0,1982.9278069863392,1965.688361909825,-21.35508384433524,5.254851953045544,-45.45052041406621,-21.21750890217527,-128.7025991948433,-2.628654375205315,-220.91459188722592,73.32693070486948,0.0,0.0,0.0,0.0,4,0
4,4,9,0,6684,6,0,179.84414588866485,1084.789613943295,-13.34679648820682,0.5720010396594262,-23.522700285513395,9.910836751586203,-47.198007371155136,28.05570565048605,-93.23355396658943,62.28833497395932,-140.21548578463853,96.9168041914163,-179.84414588866485,126.21946862482443,5,0
5,5,10,0,2526,18,0,512.8440554188475,455.9774474573906,-6.1393033867638005,-17.922183519661644,4.331379053075011,-52.770010717259595,10.841923708118655,-97.95600040995669,28.966201869235874,-111.12128003330128,41.512574156455905,-102.25659194146613,142.9334071651316,-107.09674539225769,6,0
6,6,11,0,3999,10,0,1964.9310988130826,754.5853146963257,8.582745102785566,21.74382474143579,26.20130365812406,52.566855744855395,61.24967979010761,105.51560834069346,74.0841938016124,115.4212103526123,-9.480629210247344,-26.617183161187995,-70.72357481979179,-74.02989110750218,7,0
7,7,4,0,3620,2,0,857.1080355090628,685.9092643806407,-26.39586226561641,28.07940943305573,-44.12413121017414,22.875733842190925,-79.54392883388516,18.3698050408384,-117.96927966110388,-3.7860076255586814,-155.28112626107747,-36.41934951677172,-192.43824521010788,-55.11912024417302,8,0
8,8,6,0,12586,11,0,751.0439049177577,1685.2900087189166,-19.16659356575769,-3.0126084042017283,-28.53771721084309,-4.456164832533432,-56.46940596314232,-14.760372898305375,-97.00403886309198,-22.876344605657096,-133.79561327512442,-26.338143230267633,-193.03971988637002,-35.277633626103125,9,0
9,9,8,0,5036,3,0,1077.9434163830028,895.9462194160855,-9.527253670070651,-11.93027883192292,-8.402805369519228,-17.2372581855858,-14.405856675494304,-21.800243345167022,-14.200362798414746,-26.53993661312825,-18.41371926635861,-31.855385527505288,-45.024603377952644,-31.327186634515208,10,0
10,10,3,0,7730,15,0,1764.2025634560925,1203.3887724946214,-12.895422740619324,-14.629010535217276,-12.462808647333304,-21.36516920716668,-24.166050503276445,-32.48977396399482,-35.934516517575496,-42.441825864637615,-74.88180777090747,-68.08295870392567,-116.94613195200121,-150.36519106563674,11,0
11,11,5,0,3130,16,0,654.2842482720554,569.5897410616798,21.80089110749361,-35.335135204237304,55.78710932617628,-77.97534914693972,102.59933487623027,-111.69299063383886,177.65636043283484,-120.916654602969,189.1724535616405,-100.25588554012741,228.71715593676845,-100.51986946365338,12,0
12,12,5,1,41712,16,0,843.4567018336959,469.33385552155227,8.450932844217391,-1.5816966876066658,19.59994829198353,-4.837621337885025,39.54470237512793,-0.2639839235259842,118.93403538217241,-8.48165074953522,194.3536259281907,148.26535274280496,221.1116326238846,220.0073383619635,8,0
13,13,3,1,43585,15,0,1689.3207556851846,1135.305813790696,-14.919880556569069,-40.8633058001999,-27.51799770300568,-73.28153826340781,-42.06432418109375,-82.28223236171107,27.614243673156125,-40.11191962501994,2.0067977365138177,-51.871399608310405,-57.13159317093755,-88.29949860251396,11,0
14,14,10,1,41284,18,0,554.3566295753034,353.72085551592454,18.264713340440267,-1.6079562232843614,36.58494217518978,-3.972020650740831,101.42083300867569,-4.840153450791547,184.05377992323338,-6.609143210806677,238.55473949637872,-20.319116948732642,283.88775304445716,28.624704044209523,6,0
15,15,4,1,42294,2,0,701.8269092479851,649.4899148638691,-8.148508018568577,-4.086279550969948,-32.09643261194651,-5.882540776448536,-37.157118949030405,-18.6997707274013,-22.875974050896392,-32.414237516510525,-23.742644280462972,-88.56446001838378,-10.13742832415062,-94.7887741508143,12,0
16,16,8,1,42838,3,0,1059.5296971166445,864.0908338885803,-4.731474562800713,-0.6077552787772902,-13.248144126778245,-0.3697940189565543,-26.610884111594032,0.5281988929900763,-49.981222015113076,24.24369508062023,-63.02969525816082,21.522666817940262,-69.07128216633157,20.374372590883354,10,0
17,17,6,1,45334,11,0,617.2482916426334,1658.9518654886488,-13.465845018997474,-2.912079726010006,-25.104925700601484,-2.328482208957212,-59.24410661124558,-8.939490395835493,-90.18048468298548,-19.551334026487666,-119.72610408435816,-25.383859347990214,-132.66075362284107,-36.258282986323145,9,0
18,18,0,1,42586,17,0,1230.6524998960922,774.8287002929036,-30.75409018574873,70.49933706588273,-9.428291569127623,99.8230307793317,6.300220963860966,216.3240703828866,51.75064314045198,399.46950857519136,-210.68920480678813,429.21548245671295,-423.16373930771545,373.7084458655253,1,0
19,19,102,1,42890,7,0,610.0891106680185,876.8340811486569,-7.710500309571444,1.0257199840540352,-23.94238209077082,7.153976433728758,-39.38207148694653,-2.831832441118763,-46.93597829495741,21.02846653164829,-32.58459169515743,40.67309834502271,-37.79025720384232,46.52904831504157,3,0
20,20,1,1,40731,12,0,1421.7112474129633,169.06004086259156,-36.56288566187982,-3.9190955939261602,-45.74709180275296,-7.398401513431254,-74.52069875821417,-11.383796014863293,-155.9367636189529,-20.204305206203124,-193.78850684231568,-18.862035492413554,-197.75607976317883,-19.453456230232575,2,0
21,21,11,1,42445,10,0,1955.450469602835,727.9681315351378,-23.991233291508927,-22.0151698484026,-35.3012801766481,-30.061659725721828,-61.24294560954445,-47.412707946314185,-116.41491832796758,-60.57873590608608,-128.71340319725277,-64.9041511346885,-117.3093120706369,-71.20434614822055,7,0
22,22,9,1,43725,6,0,39.628660104026366,1181.7064181347114,-5.3079316619082215,4.5985320073491485,-6.675226869380637,10.328014796723213,-39.628660104026366,29.302664433408154,-39.628660104026366,28.30265693335173,-39.628660104026366,31.30267943352032,-39.628660104026366,33.302694433632716,5,0
23,23,6,2,85408,11,0,497.5221875582752,1633.5680061406586,-4.376556116694019,-2.121253978979212,-8.962442803731733,-4.196689093508667,-12.934649538482914,-10.874423638332928,-26.61763425588964,-15.329908896273535,-40.67980410223039,-15.6151790634417,-46.44213867952254,-15.812305238291854,9,0
24,24,12,2,85924,20,0,1909.6152864023209,1917.2781525103594,22.44188157753274,-16.876582747549946,66.82038003545699,-63.76077915803194,116.96554035195551,-93.31497490576088,0.0,0.0,0.0,0.0,0.0,0.0,13,0
25,25,10,2,83239,18,0,792.9113690716821,333.4017385671919,10.599224659651897,3.10732667142878,15.526079273391248,9.525289397787617,45.3330135480785,48.94382099294217,92.49820266383426,62.865022274337996,91.23843524152595,68.96406516920172,87.23429955929588,39.064641604131744,6,0
26,26,0,2,84647,17,0,1019.9632950893041,1204.0441827496165,-58.728249321972726,-33.86846118973085,-104.52965834260829,-56.72290642988354,-212.47453450092723,-55.50703659118767,-388.52007854496736,-104.58249217054413,-262.67719370587247,10.647185826759596,-282.6270020178556,19.79458819520005,1,0
27,27,13,2,84747,19,0,1929.618230406031,1277.7714063290111,-7.673031786156117,3.196082976327716,-24.59938000414445,3.2534469400707167,-44.250589031261605,5.773491929794318,11.368233564333876,-10.948335953853075,97.89763490561563,-8.261472413778165,0.0,0.0,14,0
28,28,8,2,84170,3,0,996.5000018584835,885.6135007065204,-2.734376579017976,0.4831962851094431,-4.065731329686741,0.6863352665631055,-6.041586908170757,-1.1482942270569083,-18.322191117822854,-47.079196411306725,-17.607450867938837,-113.06076371918562,2.5305534343495992,-124.30683767175005,10,0
29,29,11,2,83756,10,0,1826.7370664055825,663.0639804004487,1.9227841788044768,-3.902469607691161,4.729880674624611,-5.7687298473817945,11.404091126615867,-6.300195013532061,14.801400248984466,-13.792983066677266,-3.926785225536605,-14.420443370220935,-9.013030261678978,-9.988192166676754,7,0
30,30,5,2,83697,16,0,1037.8103277618866,617.5992082643572,-1.5412505269978285,-1.4298396027859326,7.887348723872948,33.12239016827823,26.75800669569389,71.74198561915854,55.348824872947034,117.00861762310149,79.7247671888838,149.9527517776111,102.02233181487986,174.4230390433738,8,0
31,31,9,2,84657,6,0,0.0,1213.0090975682315,0.0,3.0000225001688254,0.0,2.0000150001123984,0.0,2.0000150001123984,20.41412890187655,-8.860565347591091,31.91115485533375,-21.740783770996813,29.41009588598319,-22.376649069947014,5,0
32,32,3,2,84467,15,0,1691.327553421699,1083.4344141823856,-11.309159957484553,-4.8045651163138245,-24.301905443602447,-13.507414599973572,-59.13839090745136,-36.42809899420354,-89.8792578672419,-57.84242793093131,-109.9008975635013,-69.84672788655269,-156.42188121211618,-91.44972337419905,11,0
33,33,102,2,934104,7,0,577.5045189728611,917.5071794936797,-0.5248214583771187,9.137093131994902,0.11428308685765387,11.474604684165115,-5.205665508684888,5.855949970018855,6.07099882678358,2.482549221762838,4.01219826060003,7.015526827674308,49.377773645171395,50.31092348616448,3,0
34,34,1,2,82905,12,0,1227.9227405706474,150.19800537017798,14.417971273488774,10.073156550576757,7.5356063621595695,-4.1820746079731075,-3.967572920863177,-0.5914207378190213,61.02303588254904,36.32563864548308,36.85735983639621,59.419232644019395,28.69693806525106,65.91661720574933,2,0
35,35,4,2,83614,2,0,678.0842649675221,560.9254548454853,-3.713693214195701,-3.503524414986828,-2.8711580705917186,-5.897357892897389,13.60521595631235,-6.22431413243055,24.742151824075226,0.009437443144292956,14.33352102418587,-14.395119467888774,18.24041651194932,-12.85765791995641,12,0
36,36,5,3,130241,16,0,1117.5350949507704,767.5519600419682,2.8548474459446425,3.2987916773906814,6.695202346939367,7.160632673926103,22.297564625996074,24.47028726576275,42.766054797674094,52.433972794439676,73.68535251907156,81.96070488971861,104.51506630389488,106.91268039050965,8,0
37,37,6,3,131690,11,0,456.84238345604484,1617.9528270772169,-3.233261520287272,-1.8242859422255149,-3.3578636428249524,-0.14925695061174338,-5.762334577292164,-0.1971261748501547,-7.344422282846893,2.4396157963337832,-2.385196650518708,1.8398982462842923,8.356435923503795,4.622969629517684,9,0
38,38,4,3,129896,2,0,692.4177859917081,546.5303353775965,4.220486643528375,-0.3805931661540853,-1.6044029899053385,0.3255875383950979,3.9068954877634496,1.5374615479323666,7.068441128791619,0.28338035310491705,10.991263116134746,-11.650489586668757,-3.513231965675459,-70.06469197570584,12,0
39,39,9,3,130888,6,0,31.91115485533375,1191.268313797235,0.4978569233538117,-1.3011786627969286,-1.9109479497343853,-0.7392285260159497,-2.5010589693505563,-0.6358652989501934,-31.91115485533375,7.7406787702093425,-31.91115485533375,6.740671270153142,0.0,0.0,5,0
40,40,8,3,130250,3,0,978.8925509905447,772.5527369873347,9.264209874948394,-17.025571542507464,13.597975403634225,-20.588647909733826,20.13800430228844,-11.246073952564416,57.510977936623924,56.64226852679906,81.00803258214773,96.01298342312487,112.22855697300336,118.1048661383726,10,0
41,41,13,3,3132509,19,0,2027.5158653116464,1269.509933915233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
42,42,0,3,130935,17,0,757.2861013834315,1214.6913685763761,99.34306546469419,17.094551002601293,63.61659889814472,49.31208646577829,-19.949808311983134,9.147402368440453,-67.16814124835615,-147.755471785292,-68.700647308268,-107.58234768306008,-12.947331821486955,-32.00981857174997,1,0
43,43,3,3,130651,15,0,1581.4266558581976,1013.5876862958328,-4.58638414547886,-1.9166215861694127,-13.22072794996552,-5.5668748119679785,-46.5209836486149,-21.60299548764636,-123.13617722401204,-50.32017835138584,-122.72692055375704,-50.115622267569286,-69.58014015575259,-25.401961158648877,11,0
44,44,1,3,129276,12,0,1264.7801004070438,209.6172380141974,10.974140068115046,3.8221904843304912,11.837440380545786,1.7467197295584356,-8.160421771145138,6.497384561729945,-39.72473003634832,14.64162801632216,-51.936023913720426,32.820298056269536,-98.32101633406457,60.436839040669746,2,0
45,45,10,3,129628,18,0,884.149804313208,402.3658037363937,1.2822555772712576,-5.416738873053872,-1.6950211797582142,-9.073081876869876,-4.004135682230071,-29.89942356506998,-3.3264471924001096,-27.28514072477605,16.600615634749488,16.310488469754887,78.78262003278553,129.43844719937664,6,0
46,46,11,3,130047,10,0,1822.810281180045,648.6435370302281,-4.1258004812407325,-0.5979597286760736,-6.3663497162913245,3.728878828967368,-5.0862450361423726,4.432251203544183,-13.715290713898867,32.21905037462875,-44.444129283609534,44.05668014616913,-60.27665467864039,48.24070464612134,7,0
47,47,102,3,130495,7,0,581.5167172334611,924.5227063213541,-0.5740296067808686,2.6538264095420345,-0.6332829688245738,7.795686247398407,45.36557538457134,43.29539665849017,58.99746505304051,62.23172740193127,69.07130910114006,64.86322542968128,77.71560659959471,65.43513186820496,3,0
48,48,3,4,169322,15,0,1458.6997353044405,963.4720640282635,4.169956340027738,-2.0695262249090547,7.526367694990313,-0.6444281147182664,53.146780398004466,24.713661108920412,71.44539027973178,56.46756179933516,115.64871889154028,90.40863266149256,138.14529225732144,89.45867086104715,11,0
49,49,1,4,168169,12,0,1212.8440764933234,242.4375360704669,-14.449866219490561,8.514584397537648,-24.291343991034413,14.531036380995946,-46.38499242034413,27.61654098440021,-71.12980011998549,45.09225326358234,-27.062383856655288,13.328591747241175,-35.40525358149489,-1.6032427150764756,2,0
50,50,5,4,169135,16,0,1191.2204474698422,849.5126649316869,8.713587697750652,7.9498166628079625,13.702118478721106,14.309184128023846,30.829713784823298,24.95197550079104,52.96889901634654,37.23484388632528,63.67193514337942,41.35514408221764,68.86675137783345,35.168222452386196,8,0
51,51,11,4,168908,10,0,1778.366151896436,692.7002171763972,-3.1175449793488497,0.8626960246059525,-8.967114786742059,1.6760849434392644,-15.832525395030869,4.1840244999522165,-22.67810573471661,0.016927070752217332,-44.21470961392743,-12.399768285875778,-34.11441496884254,-15.716208549362134,7,0
52,52,9,4,169676,6,0,0.0,1198.008985067388,0.0,3.0000225001688254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
53,53,8,4,169168,3,0,1059.9005835726923,868.5657204104598,6.170391880905299,9.872807497692293,14.103606275358743,16.918404004419926,31.220524390855648,22.091882715247717,24.603078331871075,22.47524854714129,17.720419961171274,15.974529936618753,0.0,0.0,10,0
54,54,102,4,169364,7,0,650.5880263346013,989.3859317510353,1.0455383443418214,1.2259789436841402,2.249466550675152,2.5350121031760864,8.644297498454646,0.5719064385236834,15.129897376512075,-10.23980314632297,10.482974058776788,-11.384396058284324,3.405232287388003,-8.952093067316243,3,0
55,55,6,4,170421,11,0,454.45718680552596,1619.7927253235016,-0.19900535824314147,-1.6948557509986129,4.092422855300754,-0.9070759179232936,10.741632574022503,2.783071383233392,11.475012036668884,3.856578389151764,10.84457540209263,7.733232139855772,15.098295735502631,11.848731098345525,9,0
56,56,0,4,169531,17,0,688.5854540751636,1107.109020893316,-100.53281566864734,28.739622117960163,-75.03347193271793,79.59053536286001,55.753315486781034,75.57252911131013,99.40448743633215,-0.8193893530597052,-45.3681587509908,57.001943728410644,18.50329371682097,-28.47178669122445,1,0
