,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt8_n0_dx,dt8_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,0,0,0,3280,17,0,1128.6388742470642,589.0464488883647,193.85936536817871,37.22271361492551,1,0
1,1,1,1,0,1169,12,0,1558.5871745658142,260.1791317742349,-108.57629948425095,-85.1778192643911,2,0
2,2,2,2,0,4818,7,0,657.2657154297506,858.3100691371335,-39.30689240927881,7.410976895563862,3,0
3,3,3,3,0,14810,1,0,1982.9278069863392,1965.688361909825,-220.91459188722592,73.32693070486948,4,0
4,4,4,4,0,6684,6,0,179.84414588866485,1084.789613943295,-93.23355396658943,62.28833497395932,5,0
5,5,5,5,0,2526,18,0,512.8440554188475,455.9774474573906,28.966201869235874,-111.12128003330128,6,0
6,6,6,6,0,3999,10,0,1964.9310988130826,754.5853146963257,74.0841938016124,115.4212103526123,7,0
7,7,7,7,0,3620,2,0,857.1080355090628,685.9092643806407,-117.96927966110388,-3.7860076255586814,8,0
8,8,8,8,0,12586,11,0,751.0439049177577,1685.2900087189166,-97.00403886309198,-22.876344605657096,9,0
9,9,9,9,0,5036,3,0,1077.9434163830028,895.9462194160855,-14.200362798414746,-26.53993661312825,10,0
10,10,10,10,0,7730,15,0,1764.2025634560925,1203.3887724946214,-35.934516517575496,-42.441825864637615,11,0
11,11,11,11,0,3130,16,0,654.2842482720554,569.5897410616798,177.65636043283484,-120.916654602969,12,0
12,12,12,12,1,32805,17,0,1322.4982396152432,626.2691625032901,-85.54551875528978,364.88360817250015,1,0
13,13,13,13,1,32229,16,0,831.9406087048903,448.67308645871066,51.06079550393361,20.396785139315625,12,0
14,14,14,14,1,33543,10,0,2039.0152926146948,870.0065250489379,-144.8077686214042,-189.45110146011453,7,0
15,15,15,15,1,33514,7,0,617.9588230204716,865.7210460326975,-47.25178383939965,8.281202674840756,3,0
16,16,16,16,1,32939,2,0,739.1387558479587,682.1232567550821,-74.468965549004,-51.33311261861434,8,0
17,17,17,17,1,31822,18,0,541.8102572880833,344.8561674240893,113.96720529589571,4.024534641043601,6,0
18,18,18,18,1,36018,11,0,654.0398660546657,1662.4136641132593,-96.035681023278,-12.401289020446026,9,0
19,19,19,19,1,34460,15,0,1728.268046938517,1160.946946629984,-81.01161543442572,-107.92336520099913,11,0
20,20,20,20,1,31196,12,0,1450.0108750815632,175.0013125098438,-102.82032642681406,-17.325067662115543,2,0
21,21,21,21,1,33533,3,0,1063.7430535845883,869.4062828029573,-30.824240579537893,-4.787250021386967,10,0
22,22,22,22,1,34397,6,0,86.61059192207546,1147.0779489172544,-86.61059192207546,63.93113365086514,5,0
23,23,23,23,1,36574,1,0,1762.0132150991133,2039.0152926146948,0.0,0.0,4,0
24,24,24,24,2,71041,17,0,1236.9527208599534,991.1527706757904,-216.98942577064918,212.89141207382642,10,0
25,25,25,25,2,71106,15,0,1647.2564315040909,1053.023581428985,44.07112191760758,30.41083275340065,11,0
26,26,26,26,2,70181,16,0,883.0014042088237,469.0698715980263,154.80892355306275,148.52933666633098,12,0
27,27,27,27,2,69670,12,0,1347.1905486547494,157.6762448477283,-119.26780808410149,-7.478239477550262,2,0
28,28,28,28,2,70536,10,0,1894.2075239932904,680.5554235888234,-67.47045758770832,-17.491443188374323,7,0
29,29,29,29,2,71533,19,0,2027.8955288713653,1297.4017721435569,-98.27729846533451,-19.63036581454571,13,0
30,30,30,30,2,70865,3,0,1032.9188130050504,864.6190327815702,-36.41881114656678,20.994467924950182,1,0
31,31,31,31,2,69973,18,0,655.7774625839791,348.880702065133,137.13390648770306,-15.478963497941097,6,0
32,32,32,32,2,71355,6,0,0.0,1211.0090825681195,0.0,2.000015000112171,5,0
33,33,33,33,2,70874,7,0,570.707039181072,874.0022487075381,6.797479791789101,43.50493078614147,3,0
34,34,34,34,2,72188,11,0,558.0041850313878,1650.012375092813,-60.48199747311257,-16.44436895215472,9,0
35,35,35,35,2,70462,2,0,664.6697902989548,630.7901441364677,13.414474668567436,-69.86468929098247,8,0
36,36,36,36,3,85408,11,0,497.5221875582752,1633.5680061406586,-26.61763425588964,-15.329908896273535,9,0
37,37,37,37,3,85924,20,0,1909.6152864023209,1917.2781525103594,0.0,0.0,14,0
38,38,38,38,3,83239,18,0,792.9113690716821,333.4017385671919,92.49820266383426,62.865022274337996,6,0
39,39,39,39,3,84647,17,0,1019.9632950893041,1204.0441827496165,-388.52007854496736,-104.58249217054413,10,0
40,40,40,40,3,84747,19,0,1929.618230406031,1277.7714063290111,11.368233564333876,-10.948335953853075,13,0
41,41,41,41,3,84170,3,0,996.5000018584835,885.6135007065204,-18.322191117822854,-47.079196411306725,1,0
42,42,42,42,3,83756,10,0,1826.7370664055825,663.0639804004487,14.801400248984466,-13.792983066677266,7,0
43,43,43,43,3,83697,16,0,1037.8103277618866,617.5992082643572,55.348824872947034,117.00861762310149,12,0
44,44,44,44,3,84657,6,0,0.0,1213.0090975682315,20.41412890187655,-8.860565347591091,5,0
45,45,45,45,3,84467,15,0,1691.327553421699,1083.4344141823856,-89.8792578672419,-57.84242793093131,11,0
46,46,46,46,3,934104,7,0,577.5045189728611,917.5071794936797,6.07099882678358,2.482549221762838,3,0
47,47,47,47,3,82905,12,0,1227.9227405706474,150.19800537017798,61.02303588254904,36.32563864548308,2,0
48,48,48,48,3,83614,2,0,678.0842649675221,560.9254548454853,24.742151824075226,0.009437443144292956,8,0
