,Unnamed: 0,TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,dt6_n0_dx,dt6_n0_dy,dt10_n0_dx,dt10_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,0,0,3280,17,0,1128.6388742470642,589.0464488883647,-10.758788464638428,-6.893381690560773,-12.124707479940753,-19.49166481556449,23.028052324566715,-33.979578521887674,193.85936536817871,37.22271361492551,102.01362564902796,185.78225140453893,108.31384661288895,402.1063217874256,122.24940745896471,-49.364395039712804,214.96643138077567,149.73017312121962,1,0
1,1,1,0,1169,12,0,1558.5871745658142,260.1791317742349,-15.453055119054625,-11.456965019644684,-20.61349565035016,-22.737139847465468,-49.35245635237516,-44.5468770838678,-108.57629948425095,-85.1778192643911,-136.87592715285086,-91.11909091164335,-211.39662591106503,-102.50288692650663,-82.71406384182137,-78.5885823873325,-147.21960774968784,-92.11197191356042,2,0
2,2,102,0,4818,7,0,657.2657154297506,858.3100691371335,-6.491118832319787,-7.15158392821138,2.3845795979353848,-10.351742200524427,-4.43223347072626,-7.173161065740602,-39.30689240927881,7.410976895563862,-47.17660476173194,18.524012011523386,-86.5586762486785,15.69217957040462,-15.724125905880214,-19.054177797288393,-48.39399035371275,-7.73839707610216,3,0
3,3,7,0,14810,1,0,1982.9278069863392,1965.688361909825,-21.35508384433524,5.254851953045544,-45.45052041406621,-21.21750890217527,-128.7025991948433,-2.628654375205315,-220.91459188722592,73.32693070486948,0.0,0.0,0.0,0.0,-218.62531437039246,37.42169929812371,0.0,0.0,4,0
4,4,9,0,6684,6,0,179.84414588866485,1084.789613943295,-13.34679648820682,0.5720010396594262,-23.522700285513395,9.910836751586203,-47.198007371155136,28.05570565048605,-93.23355396658943,62.28833497395932,-140.21548578463853,96.9168041914163,-179.84414588866485,126.21946862482443,-75.83044916420008,48.864355280994005,-114.75650387965072,76.68733235609443,5,0
5,5,10,0,2526,18,0,512.8440554188475,455.9774474573906,-6.1393033867638005,-17.922183519661644,4.331379053075011,-52.770010717259595,10.841923708118655,-97.95600040995669,28.966201869235874,-111.12128003330128,41.512574156455905,-102.25659194146613,142.9334071651316,-107.09674539225769,15.155097202404024,-109.5086967950956,22.81749504605011,-105.163003534923,6,0
6,6,11,0,3999,10,0,1964.9310988130826,754.5853146963257,8.582745102785566,21.74382474143579,26.20130365812406,52.566855744855395,61.24967979010761,105.51560834069346,74.0841938016124,115.4212103526123,-9.480629210247344,-26.617183161187995,-70.72357481979179,-74.02989110750218,74.0841938016124,133.42134535362482,42.83200474949557,40.6662197502651,7,0
7,7,4,0,3620,2,0,857.1080355090628,685.9092643806407,-26.39586226561641,28.07940943305573,-44.12413121017414,22.875733842190925,-79.54392883388516,18.3698050408384,-117.96927966110388,-3.7860076255586814,-155.28112626107747,-36.41934951677172,-192.43824521010788,-55.11912024417302,-98.32708613640513,5.968450280631372,-145.46839749089781,-30.836668364219012,8,0
8,8,6,0,12586,11,0,751.0439049177577,1685.2900087189166,-19.16659356575769,-3.0126084042017283,-28.53771721084309,-4.456164832533432,-56.46940596314232,-14.760372898305375,-97.00403886309198,-22.876344605657096,-133.79561327512442,-26.338143230267633,-193.03971988637002,-35.277633626103125,-83.96850446998917,-22.24290278030753,-108.60732165005423,-27.71086663246456,9,0
9,9,8,0,5036,3,0,1077.9434163830028,895.9462194160855,-9.527253670070651,-11.93027883192292,-8.402805369519228,-17.2372581855858,-14.405856675494304,-21.800243345167022,-14.200362798414746,-26.53993661312825,-18.41371926635861,-31.855385527505288,-45.024603377952644,-31.327186634515208,-16.338209316766324,-25.44730073118421,-13.673393898204267,-28.96092345538932,10,0
10,10,3,0,7730,15,0,1764.2025634560925,1203.3887724946214,-12.895422740619324,-14.629010535217276,-12.462808647333304,-21.36516920716668,-24.166050503276445,-32.48977396399482,-35.934516517575496,-42.441825864637615,-74.88180777090747,-68.08295870392567,-116.94613195200121,-150.36519106563674,-28.83239425687339,-36.33192783223808,-46.65107950352672,-50.89602158348043,11,0
11,11,5,0,3130,16,0,654.2842482720554,569.5897410616798,21.80089110749361,-35.335135204237304,55.78710932617628,-77.97534914693972,102.59933487623027,-111.69299063383886,177.65636043283484,-120.916654602969,189.1724535616405,-100.25588554012741,228.71715593676845,-100.51986946365338,147.40787099582042,-120.74694903710964,168.42181883133287,-105.10445326112878,12,0
12,12,0,1,32805,17,0,1322.4982396152432,626.2691625032901,12.299553754020508,84.05473127586197,21.107066012596988,112.50745950629414,-91.84573971915071,148.5595377896135,-85.54551875528978,364.88360817250015,-40.09509657869876,548.0290463648048,-302.53494452593895,577.7750202463262,-101.27403128827835,248.3825685689452,-55.99500092071685,470.34882992782036,1,0
13,13,5,1,32229,16,0,831.9406087048903,448.67308645871066,-16.127928835170337,12.827746952093436,-9.234541601501975,15.812201341840193,11.516093128805663,20.66076906284161,51.06079550393361,20.396785139315625,130.45012851097806,12.179118313306393,205.86971905699642,168.92612180564655,31.116041420789198,15.823147724956586,91.63454438356165,29.57506800165396,12,0
14,14,11,1,33543,10,0,2039.0152926146948,870.0065250489379,-8.640443327382172,-21.93881789234865,-31.25218905211682,-74.75499060234722,-83.56482301185973,-142.03839351380032,-144.8077686214042,-189.45110146011453,-199.9797413398273,-202.6171294198864,-212.27822620911246,-206.94254464848882,-118.86610318850785,-172.10005323952214,-167.32574542402017,-196.67296898816247,7,0
15,15,102,1,33514,7,0,617.9588230204716,865.7210460326975,-2.0268784407926432,-3.4347508497124863,-9.087097944433935,-15.149373971666028,-7.869712352453121,11.113035115959521,-47.25178383939965,8.281202674840756,-54.805690647410536,32.14150164760781,-40.45430404761054,51.78613346098223,-31.812094443223945,18.26701154968828,-49.74904504805989,14.186437890457457,3,0
16,16,4,1,32939,2,0,739.1387558479587,682.1232567550821,-17.63379978520743,-17.122537492657216,-27.49911782979393,-27.050660738660326,-37.31184659997359,-32.63334189121304,-74.468965549004,-51.33311261861434,-60.18782065086998,-65.04757940772356,-61.05449088043656,-121.1978019095968,-69.4082792119201,-38.51588266766157,-63.27913883877966,-56.8927934446366,8,0
17,17,10,1,31822,18,0,541.8102572880833,344.8561674240893,-6.612751733904703,3.599270256447255,-6.148706823185762,5.958276498378267,12.546372287220038,8.864688091835148,113.96720529589571,4.024534641043601,196.60015221045344,2.25554488102847,251.10111178359875,-11.454428856897492,49.13131446240982,4.892667441094319,133.63275807736306,-0.29457474184795274,6,0
18,18,6,1,36018,11,0,654.0398660546657,1662.4136641132593,-6.641584269384339,-0.8053371065122974,-11.603282786962268,-4.834522026807464,-36.79157441203245,-3.4617986246105374,-96.035681023278,-12.401289020446026,-126.97205909501793,-23.013132651098203,-156.5176784963906,-28.84565797260075,-61.89650011263394,-5.790280833567749,-85.08138285863606,-14.222800909949,9,0
19,19,3,1,34460,15,0,1728.268046938517,1160.946946629984,-3.4075426321930986,-1.3755616598930374,-10.716562985951212,-8.454195718842811,-38.94729125333197,-25.641132839288048,-81.01161543442572,-107.92336520099913,-11.333047580175846,-65.75305246430797,-36.940493516818144,-77.51253244759846,-66.46528895633764,-98.92267110269587,-48.742927595269286,-88.96021979903139,11,0
20,20,1,1,31196,12,0,1450.0108750815632,175.0013125098438,-25.12532020947105,-2.5253981110731445,-38.64330826543687,-6.934152649169334,-28.299627668599896,-5.9412716472522495,-102.82032642681406,-17.325067662115543,-184.2363912875528,-26.14557685345537,-222.08813451091555,-24.803307139665804,-74.04671947135284,-13.339673160683505,-153.0270537817514,-24.283540980384803,2,0
